address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
"9009 J M Keynes Dr, Ste 4","{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'quiet'"", 'Caters': 'True', 'HasTV': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForKids': 'True'}",2232XZ-3ub4S9cmrHJSDFg,"Desserts, Food, Ice Cream & Frozen Yogurt, Juice Bars & Smoothies, Restaurants, Sandwiches",Charlotte,"{'Monday': '0:0-0:0', 'Tuesday': '15:0-21:0', 'Wednesday': '16:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '12:0-22:30', 'Sunday': '15:0-22:0'}",1,35.3105707,-80.7492861,Ninety's Ice Cream & Sandwiches,28262,164,4.5,NC
8502 Park Rd,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True'}",ABeV2EzgMhyqyZGwXDBVdA,"Ice Cream & Frozen Yogurt, Food, Desserts",Charlotte,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:0'}",1,35.117297,-80.857399,TCBY,28210,11,4.0,NC
2500 Dunavant St,"{'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'DogsAllowed': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1'}",_lpqjZAseSvoDxPN-_JnzQ,"Food, Street Vendors, Ice Cream & Frozen Yogurt, Food Trucks",Charlotte,"{'Monday': '0:0-0:0', 'Tuesday': '15:0-19:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '12:0-20:0', 'Sunday': '12:0-20:0'}",1,35.204712,-80.86684,King of Pops,28203,88,4.5,NC
10490 S Decatur Blvd,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'DogsAllowed': 'True', 'BusinessAcceptsBitcoin': 'False', 'Caters': 'False', 'Alcohol': ""'none'"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '1', 'WheelchairAccessible': 'True'}",0FbFqMBLRGRRdZlGJeXjug,"Desserts, Ice Cream & Frozen Yogurt, Food, Food Trucks, Shaved Ice",Las Vegas,"{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-20:0'}",1,35.999084,-115.2068864,Purple Penguin Snowcone Shack,89141,30,4.5,NV
4727 E Bell Rd,"{'BikeParking': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True'}",HbzO-ZpnoR1hkOaygZPKYA,"Ice Cream & Frozen Yogurt, Food, Desserts, Shaved Ice",Phoenix,"{'Monday': '0:0-0:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-17:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-20:0', 'Sunday': '12:0-17:0'}",1,33.6382395729,-111.9783571336,Rita's Italian Ice,85032,66,4.0,AZ
2647 W Glendale Ave,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'WiFi': ""'no'"", 'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'WheelchairAccessible': 'True', 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",TBnB4iIU0pVKkAzN4T8xNg,"Desserts, Food, Ice Cream & Frozen Yogurt, Specialty Food, Candy Stores, Restaurants, Juice Bars & Smoothies, Sandwiches",Phoenix,"{'Monday': '10:0-21:30', 'Tuesday': '10:0-21:30', 'Wednesday': '10:0-21:30', 'Thursday': '10:0-21:30', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",1,33.5381782,-112.1334426,Neveria Chayos,85051,42,4.5,AZ
"3663 Las Vegas Blvd, Ste 520","{'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False', 'Caters': 'False', 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True'}",q2YXBzJ2S6jM8pbC23f83Q,"Food, Desserts, Ice Cream & Frozen Yogurt",Las Vegas,"{'Monday': '9:0-23:0', 'Tuesday': '9:0-23:0', 'Wednesday': '9:0-23:0', 'Thursday': '9:0-23:0', 'Friday': '9:0-0:0', 'Saturday': '9:0-0:0', 'Sunday': '9:0-23:0'}",1,36.1088774102,-115.1698761561,Ben & Jerry's,89109,38,2.5,NV
2301 E Sahara Ave,"{'RestaurantsTableService': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'Alcohol': ""'none'"", 'WiFi': ""'no'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""'average'"", 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'False', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",oIcGZlqwrKkyw_L6YAVYfw,"Food, Restaurants, Burgers, Fast Food, Ice Cream & Frozen Yogurt",Las Vegas,"{'Monday': '7:0-0:0', 'Tuesday': '7:0-0:0', 'Wednesday': '7:0-0:0', 'Thursday': '7:0-0:0', 'Friday': '7:0-1:0', 'Saturday': '7:0-1:0', 'Sunday': '7:0-0:0'}",1,36.144818,-115.1168704033,Sonic Drive-In,89104,29,2.5,NV
"3021 Charleston Blvd, Ste B","{'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'False'}",UkFMV7WGFfE_u8zyUkkuqg,"Ice Cream & Frozen Yogurt, Juice Bars & Smoothies, Food, Desserts",Las Vegas,"{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}",1,36.1591474,-115.1070562,La Flor de Michoacan,89104,66,4.0,NV
5020 W Spring Mountain Rd,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1'}",JKbovvbmbQKgb_v7KBpzPA,"Ice Cream & Frozen Yogurt, Tea Rooms, Coffee & Tea, Desserts, Food",Las Vegas,"{'Tuesday': '14:0-21:0', 'Wednesday': '14:0-21:0', 'Thursday': '14:0-21:0', 'Friday': '14:0-21:0', 'Saturday': '14:0-21:0', 'Sunday': '14:0-21:0'}",1,36.1265945,-115.20955,Chamon Matcha Salon,89146,37,4.0,NV
"3400 S Jones Blvd, Ste 3","{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'WheelchairAccessible': 'True', 'OutdoorSeating': 'False'}",E_7RIDFNQfxREnI_E5h0uA,"Ice Cream & Frozen Yogurt, Food, Desserts, Coffee & Tea",Las Vegas,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}",1,36.1280814926,-115.2245620265,Matcha Cafe Maiko,89146,237,4.5,NV
"2045 E Camelback Rd, Ste A16","{'WiFi': ""'free'"", 'NoiseLevel': ""u'quiet'"", 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'Caters': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTableService': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""'none'"", 'BikeParking': 'True'}",pV0eHAVd-guPjogXLnJ_Sg,"Ice Cream & Frozen Yogurt, Restaurants, Gluten-Free, Juice Bars & Smoothies, Food, Acai Bowls",Phoenix,"{'Monday': '6:30-19:0', 'Tuesday': '6:30-19:0', 'Wednesday': '6:30-19:0', 'Thursday': '6:30-19:0', 'Friday': '6:30-19:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-19:0'}",1,33.5082758,-112.0372054,Nekter Juice Bar,85016,85,4.0,AZ
3411 W Union Hills Dr,"{'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsTableService': 'False', 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'Caters': 'False', 'RestaurantsReservations': 'False', 'Alcohol': ""'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}",YhdWKWt3sx6YgMIILfh_Xw,"Burgers, American (Traditional), Fast Food, Food, Ice Cream & Frozen Yogurt, Restaurants",Phoenix,"{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-0:0', 'Saturday': '6:0-0:0', 'Sunday': '7:0-23:0'}",1,33.6541087463,-112.1323885099,Sonic Drive-In,85027,20,3.0,AZ
"7800 Rea Rd, Ste C","{'WiFi': ""'free'"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",-Pd-IBDWWwRNWzBBFTb7iQ,"Food, Ice Cream & Frozen Yogurt",Charlotte,"{'Monday': '11:30-21:30', 'Tuesday': '11:30-21:30', 'Wednesday': '11:30-21:30', 'Thursday': '11:30-21:30', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '12:0-21:30'}",1,35.0611922,-80.814551,Marble Slab Creamery,28277,40,3.5,NC
"801 N 2nd St, Ste 108","{'WiFi': ""u'free'"", 'DogsAllowed': 'True', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False'}",g38NqtZvSJ3lHt1APN13aw,"Coffee & Tea, Desserts, Shaved Ice, Ice Cream & Frozen Yogurt, Bubble Tea, Food",Phoenix,"{'Monday': '0:0-0:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",1,33.4568082045,-112.0707190629,Snoh Ice Shavery - Downtown,85004,156,4.5,AZ
6800 Detroit Ave,"{'BikeParking': 'True', 'Caters': 'False', 'WiFi': ""u'no'"", 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}",5VXxZIMgoKRWbNa6x9kMfw,"Desserts, Ice Cream & Frozen Yogurt, Food, Chocolatiers & Shops, Specialty Food",Cleveland,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-22:0'}",1,41.4838499,-81.731936,Sweet Moses Soda Fountain & Treat Shop,44102,365,4.5,OH
5800 Forbes Ave,"{'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'True', 'Caters': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True'}",SpXBHrRfXJdocVkQa16zxg,"Cupcakes, Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt, Custom Cakes",Pittsburgh,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,40.4379424291,-79.922830377,Cold Stone Creamery,15217,40,3.0,PA
3315 S Valley View Blvd,"{'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'True', 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'True', 'WiFi': ""u'free'"", 'Caters': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTableService': 'False', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'DogsAllowed': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'WheelchairAccessible': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}",8REOSFVMO-E1VrmLvY49Tg,"Desserts, Ice Cream & Frozen Yogurt, Street Vendors, Food, Food Stands, Restaurants",Las Vegas,"{'Monday': '12:0-19:0', 'Tuesday': '12:0-19:0', 'Wednesday': '12:0-19:0', 'Thursday': '12:0-19:0', 'Friday': '12:0-19:0', 'Saturday': '12:0-19:0', 'Sunday': '12:0-19:0'}",1,36.130093,-115.190646,Home-Made Ice Cream,89102,12,3.0,NV
