,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state,HasTV,GoodForKids,Caters,NoiseLevel,RestaurantsTakeOut,BusinessAcceptsCreditCards,RestaurantsDelivery,WiFi,OutdoorSeating,BusinessParking,RestaurantsPriceRange2,RestaurantsGoodForGroups,BikeParking,WheelchairAccessible,RestaurantsReservations,weekday_close_after_23,weekend_close_after_23,weekend_hour_g11,caterslabel,tvslabel,kidlabel,delilabel,outdoorlabel,grouplabel,wheellabel,reservelabel,noiselabel,takeoutlabel,cardlabel,wifilabel,bikelabel
15,15,15,8422,2647 W Glendale Ave,TBnB4iIU0pVKkAzN4T8xNg,Phoenix,33.5381782,-112.1334426,Neveria Chayos,85051,42,4.5,AZ,No info,TRUE,FALSE,No info,True,True,FALSE,No wifi,No info,1,1,TRUE,True,TRUE,FALSE,0,0,1,1,0,1,1,0,0,0,1,2,0,0,0.0,0
16,16,16,8460,"3663 Las Vegas Blvd, Ste 520",q2YXBzJ2S6jM8pbC23f83Q,Las Vegas,36.10887741,-115.1698762,Ben & Jerry's,89109,38,2.5,NV,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,1,1,No info,False,No info,No info,0,0,1,1,1,1,1,0,0,0,1,2,0,0,0.0,1
17,17,17,9295,2301 E Sahara Ave,oIcGZlqwrKkyw_L6YAVYfw,Las Vegas,36.144818,-115.11687040000001,Sonic Drive-In,89104,29,2.5,NV,FALSE,TRUE,FALSE,average,True,True,FALSE,No wifi,TRUE,1,1,TRUE,True,No info,FALSE,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0.0,0
18,18,18,9405,"3021 Charleston Blvd, Ste B",UkFMV7WGFfE_u8zyUkkuqg,Las Vegas,36.1591474,-115.10705619999999,La Flor de Michoacan,89104,66,4.0,NV,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,1,1,No info,False,No info,No info,0,0,1,1,0,1,1,1,0,0,1,2,0,0,0.0,1
19,19,19,10720,5020 W Spring Mountain Rd,JKbovvbmbQKgb_v7KBpzPA,Las Vegas,36.1265945,-115.20955,Chamon Matcha Salon,89146,37,4.0,NV,No info,No info,No info,No info,True,True,No info,No wifi,FALSE,0,1,No info,False,No info,No info,0,0,0,1,1,1,1,1,0,0,1,2,0,0,0.0,1
20,20,20,11625,"3400 S Jones Blvd, Ste 3",E_7RIDFNQfxREnI_E5h0uA,Las Vegas,36.12808149,-115.224562,Matcha Cafe Maiko,89146,237,4.5,NV,No info,No info,FALSE,No info,True,True,No info,Free wifi,FALSE,0,1,No info,True,TRUE,No info,0,0,0,1,0,1,1,1,0,0,1,2,0,0,1.0,0
21,21,21,13006,"2045 E Camelback Rd, Ste A16",pV0eHAVd-guPjogXLnJ_Sg,Phoenix,33.5082758,-112.0372054,Nekter Juice Bar,85016,85,4.0,AZ,FALSE,TRUE,FALSE,quiet,True,True,FALSE,Free wifi,FALSE,0,2,TRUE,True,No info,FALSE,0,0,1,1,1,1,1,1,0,0,1,3,0,0,1.0,0
22,22,22,14353,3411 W Union Hills Dr,YhdWKWt3sx6YgMIILfh_Xw,Phoenix,33.65410875,-112.1323885,Sonic Drive-In,85027,20,3.0,AZ,FALSE,TRUE,FALSE,average,True,True,FALSE,No wifi,TRUE,0,1,TRUE,False,No info,FALSE,0,0,1,1,1,1,1,0,0,0,1,2,0,0,0.0,1
23,23,23,14663,"7800 Rea Rd, Ste C",#NAME?,Charlotte,35.0611922,-80.814551,Marble Slab Creamery,28277,40,3.5,NC,No info,No info,TRUE,No info,True,True,No info,Free wifi,No info,0,1,No info,True,No info,No info,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1.0,0
24,24,24,14745,"801 N 2nd St, Ste 108",g38NqtZvSJ3lHt1APN13aw,Phoenix,33.4568082,-112.07071909999999,Snoh Ice Shavery - Downtown,85004,156,4.5,AZ,No info,No info,FALSE,No info,True,True,No info,Free wifi,TRUE,1,1,No info,True,TRUE,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,1.0,0
25,25,25,14993,6800 Detroit Ave,5VXxZIMgoKRWbNa6x9kMfw,Cleveland,41.4838499,-81.731936,Sweet Moses Soda Fountain & Treat Shop,44102,365,4.5,OH,No info,No info,FALSE,No info,True,True,FALSE,No wifi,No info,1,2,No info,True,No info,FALSE,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,0
26,26,26,15200,5800 Forbes Ave,SpXBHrRfXJdocVkQa16zxg,Pittsburgh,40.43794243,-79.92283038,Cold Stone Creamery,15217,40,3.0,PA,No info,No info,TRUE,No info,True,True,TRUE,No wifi,No info,1,2,No info,True,No info,No info,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0.0,0
27,27,27,15704,3315 S Valley View Blvd,8REOSFVMO-E1VrmLvY49Tg,Las Vegas,36.130093,-115.190646,Home-Made Ice Cream,89102,12,3.0,NV,FALSE,TRUE,FALSE,quiet,True,True,FALSE,Free wifi,FALSE,1,1,TRUE,True,FALSE,FALSE,0,0,0,1,1,1,1,1,0,1,1,3,0,0,1.0,0
28,28,28,15831,"21001 North Tatum Blvd, Ste 18-1096",P9KhwXBuHkJEif6TTJsGuQ,Phoenix,33.67467715,-111.9754527,Nekter Juice Bar,85050,81,3.0,AZ,FALSE,TRUE,TRUE,loud,True,True,FALSE,No wifi,TRUE,1,2,TRUE,True,TRUE,TRUE,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0.0,0
29,29,29,16138,4318 Butler St,RqmORv3974ZDC6Zh4nSQwg,Pittsburgh,40.47107284,-79.95992774,Naturoll Creamery,15201,149,4.0,PA,No info,No info,FALSE,No info,True,True,FALSE,No wifi,No info,1,2,No info,True,FALSE,No info,0,0,0,1,1,1,1,0,0,1,1,2,0,0,0.0,0
30,30,30,17753,2009 Kenyon Rd,fl2TPNWrchkCbNEg0utjvw,Urbana,40.13320778,-88.1985949,Steak __ Shake,61802,17,2.5,IL,FALSE,TRUE,No info,average,True,True,FALSE,Free wifi,FALSE,1,1,TRUE,True,No info,FALSE,1,1,1,1,1,1,1,1,0,0,1,2,0,0,1.0,0
31,31,31,17806,333 E Roosevelt St,3saG51hM2M14G5f-QwhGhg,Phoenix,33.458465999999994,-112.06956799999999,Melt,85004,354,4.0,AZ,No info,No info,TRUE,No info,True,True,FALSE,Free wifi,No info,1,1,No info,True,TRUE,No info,1,1,1,0,1,0,1,0,0,0,1,2,0,0,1.0,0
32,32,32,19169,"9785 S Maryland Pkwy, Ste A1",64h5mGa2cJqLgoEwRfpDUQ,Las Vegas,36.0115413,-115.137115,Cold Stone Creamery,89183,79,2.5,NV,No info,No info,FALSE,No info,True,True,FALSE,No wifi,No info,0,1,No info,True,No info,No info,0,0,1,1,1,1,1,0,0,0,1,2,0,0,0.0,0
33,33,33,19288,1605 Linden Dr,91Y6ASRhkDz3mJG9ezGNiQ,Madison,43.0749778,-89.4137655,Babcock Hall Dairy Store,53706,70,4.5,WI,FALSE,TRUE,FALSE,average,True,True,FALSE,No wifi,TRUE,1,1,TRUE,True,No info,FALSE,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,0
34,34,34,19617,229 Atwood St,NV9ftiLhePO0bNE1z8y6qw,Pittsburgh,40.440542,-79.95649470000002,Love Yogurt,15213,47,4.0,PA,FALSE,TRUE,TRUE,average,True,True,FALSE,Free wifi,FALSE,1,1,TRUE,True,TRUE,FALSE,0,0,0,0,1,0,1,1,0,0,1,2,0,0,1.0,0
35,35,35,19965,1020 N 1st Ave,RA1Jchnz3uQDg4YVHckKXQ,Phoenix,33.4593921,-112.07433470000001,Fair Trade Cafe,85003,252,4.0,AZ,FALSE,TRUE,FALSE,average,True,True,FALSE,Free wifi,TRUE,1,1,TRUE,True,No info,FALSE,0,0,1,1,1,1,1,0,0,0,1,2,0,0,1.0,0
36,36,36,20140,2302 Atwood Ave,gtcvMLPePKKyXzSroO4J5A,Madison,43.0935537,-89.3483877,Chocolate Shoppe Ice Cream,53704,16,4.5,WI,No info,No info,FALSE,No info,True,True,No info,No wifi,TRUE,1,1,No info,True,No info,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,0
37,37,37,20777,3799 Las Vegas Blvd S,qFGkw4ZORMdl-JKA51GahA,Las Vegas,36.102250700000006,-115.1699679,Häagen-Dazs,89109,17,4.0,NV,No info,No info,No info,No info,True,True,No info,No wifi,No info,1,1,No info,False,No info,No info,0,0,1,1,1,1,1,0,0,0,1,2,0,0,0.0,1
38,38,38,21946,801 Searles Ave,bLg02PdDwlQf4x-Ky2hsBw,Las Vegas,36.1847649,-115.13218390000002,Anderson Dairy,89101,14,3.5,NV,No info,TRUE,No info,No info,True,False,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,0,1,0,1,1,1,0,0,1,2,0,1,0.0,0
39,39,39,22563,1709 Murray Ave,Fozo0B-y42EhRMomR0K5vQ,Pittsburgh,40.4377485,-79.9228228,Waffallonia,15217,286,4.5,PA,FALSE,TRUE,TRUE,quiet,True,True,FALSE,No wifi,FALSE,1,1,FALSE,True,No info,FALSE,0,0,1,0,1,0,1,1,1,0,1,3,0,0,0.0,0
40,40,40,22825,2311 N 35th Ave,Bny78w8kQKHof_Xvqmj3wg,Phoenix,33.47339036,-112.13342920000001,Dulceria La Bonita Wholesale,85009,11,4.0,AZ,No info,No info,FALSE,No info,False,True,No info,No wifi,No info,1,1,No info,False,No info,No info,0,0,1,1,0,1,1,1,0,0,1,2,1,0,0.0,1
41,41,41,22879,7206 Mineral Point Rd,UROWdKGa1IQ19Jk4tExvVQ,Madison,43.0611479,-89.50678740000002,Culver's,53717,24,3.5,WI,TRUE,TRUE,FALSE,average,True,True,FALSE,Free wifi,TRUE,1,1,TRUE,True,No info,FALSE,0,0,1,1,0,1,1,0,0,0,1,2,0,0,1.0,0
42,42,42,23408,"7460 S Rainbow Blvd, Ste 110",_6UaHEnDDbUla3Pa3VVu3Q,Las Vegas,36.05318196,-115.24144550000001,Asia Creamery,89139,116,4.5,NV,No info,No info,FALSE,No info,True,True,No info,Free wifi,No info,1,1,No info,True,TRUE,No info,0,0,0,1,1,1,1,1,0,0,1,2,0,0,1.0,0
43,43,43,25043,"6300 South Blvd, Ste 100",Bp75bv1iyCy6yiHz3KKhyA,Charlotte,35.1493732,-80.87738509999998,La Michoacana,28217,20,4.0,NC,No info,No info,No info,No info,True,True,No info,Free wifi,No info,0,1,No info,False,No info,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,1.0,1
44,44,44,25085,"9055 S Eastern Ave, Ste 1A",WQyGqfFKd-baBTVfZWzeTw,Las Vegas,36.02536389999999,-115.1190162,Yogurtland,89123,140,4.5,NV,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0.0,0
45,45,45,25419,3200 S Las Vegas Blvd,8CNNs7jFv0yVptAvnga4xQ,Las Vegas,36.12758661,-115.1683575,Sticks & Shakes,89109,85,3.5,NV,No info,No info,FALSE,No info,True,True,No info,Free wifi,No info,1,2,No info,False,TRUE,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,1.0,1
46,46,46,25840,3600 S Las Vegas Blvd,huOCKRwDvNqGX3KSzYawbw,Las Vegas,36.112133,-115.17679199999999,Cafe Gelato,89109,218,4.0,NV,FALSE,TRUE,FALSE,average,True,True,FALSE,Free wifi,FALSE,1,2,TRUE,False,No info,FALSE,0,0,1,1,1,1,1,1,0,0,1,2,0,0,1.0,1
47,47,47,25899,5685 Mountain Vista,clXf1Kkl5ynDMBhKS9a_Vw,Las Vegas,36.0861029,-115.0737979,Snow Vegas Shave Ice,89120,12,5.0,NV,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,0,1,No info,True,TRUE,No info,0,0,0,1,0,1,1,1,0,0,1,2,0,0,0.0,0
48,48,48,26005,2535 S Las Vegas Blvd,6UI3dCIY6eM1eBOsnEVBuw,Las Vegas,36.14236939999999,-115.156034,The Perq,89109,104,3.5,NV,FALSE,FALSE,FALSE,average,True,True,FALSE,Free wifi,FALSE,1,2,FALSE,False,TRUE,FALSE,1,1,1,1,1,1,1,1,1,0,1,2,0,0,1.0,1
49,49,49,26022,"9711 S Eastern Ave, Ste H-1",#NAME?,Las Vegas,36.0126257,-115.11952579999999,La Flor de Michoacan,89183,48,4.5,NV,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,0,1,No info,True,No info,No info,0,0,0,1,1,1,0,1,0,0,1,2,0,0,0.0,0
50,50,50,26098,"14126 Rivergate Pkwy, Ste 100",SYLlWyEfmkS0EPCv31-_cg,Charlotte,35.10285820000001,-80.9849921,Cold Stone Creamery,28273,40,2.5,NC,No info,No info,FALSE,No info,True,True,FALSE,No wifi,No info,0,2,No info,True,No info,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,0
51,51,51,26689,14835 Ballantyne Village Way,oU8mRUY-XtaVR_RSgKZtTA,Charlotte,35.052751799999996,-80.8514933,TCBY,28277,12,3.5,NC,No info,No info,No info,No info,True,True,No info,Free wifi,No info,1,1,No info,True,No info,No info,0,0,0,1,0,1,1,1,0,0,1,2,0,0,1.0,0
52,52,52,26879,"2272 S Nellis Blvd, Ste 4",pd9zEKWDp0NKSj7ebRMr4w,Las Vegas,36.14518842,-115.0630874,Yogurtland,89142,19,4.0,NV,No info,TRUE,FALSE,No info,True,True,No info,No wifi,No info,0,1,No info,True,No info,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,0
53,53,53,27190,"8156 S Tryon, Ste C",IicSYcYs9_prA7CyPJOugw,Charlotte,35.1441372,-80.9329131,Sweet Frog Premium Frozen Yogurt,28273,25,4.0,NC,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0.0,0
54,54,54,27191,10625 N Tatum Blvd,t2rB8S27zl4Uzo16kiAQdg,Phoenix,33.583439899999995,-111.9768301,The Screamery,85028,62,4.5,AZ,No info,No info,No info,No info,True,True,No info,No wifi,No info,0,1,No info,False,TRUE,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,1
55,55,55,27270,208 State St,10jP6njt3elD90gaHF1FBQ,Madison,43.074998,-89.38853399999998,Kilwins,53703,67,4.5,WI,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,1,2,No info,True,No info,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,0
56,56,56,27773,4860 S Eastern Ave,HqyAd-xCZxnJb3IlHCfL9w,Las Vegas,36.1005917,-115.11729609999999,Baskin-Robbins,89119,38,4.0,NV,FALSE,TRUE,TRUE,quiet,True,True,FALSE,No wifi,FALSE,1,1,TRUE,True,No info,FALSE,0,0,1,0,1,0,1,1,0,0,1,3,0,0,0.0,0
57,57,57,27875,1033 South Rainbow Blvd,lGiUZcTvuMdx28YMvqZ2vw,Las Vegas,36.1595495,-115.24538940000001,Fresh Boba Tea,89145,108,4.5,NV,No info,No info,FALSE,No info,True,True,No info,Free wifi,FALSE,1,1,No info,True,TRUE,No info,0,0,0,1,1,1,1,1,0,0,1,2,0,0,1.0,0
58,58,58,28293,9606 N 19th Ave,bIqpLN-_q1XSKdgbi5GKRw,Phoenix,33.57314757,-112.1001154,Sonic Drive-In,85021,20,3.0,AZ,FALSE,TRUE,FALSE,quiet,True,True,FALSE,No wifi,TRUE,0,1,TRUE,True,No info,FALSE,0,0,1,1,1,1,1,0,0,0,1,3,0,0,0.0,0
59,59,59,28332,1705 E Carson St,K8M3OeFCcAnxuxtTc0BQrQ,Pittsburgh,40.42909279999999,-79.9816954,The Milk Shake Factory,15203,236,4.0,PA,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,1,2,No info,True,No info,No info,0,0,1,1,1,1,1,1,0,0,1,2,0,0,0.0,0
60,60,60,28437,6629 S Central Ave,5fM69_oyGPAtrvR7bSGVOg,Phoenix,33.385681,-112.0729321,Oasis Raspados,85042,24,4.0,AZ,No info,No info,TRUE,No info,True,True,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0.0,0
61,61,61,28511,6168 Centre Ave,MdjZQiYwl8tljeAbx_fFZQ,Pittsburgh,40.4603479,-79.92289740000002,Menchie's Frozen Yogurt,15206,18,4.5,PA,No info,No info,No info,No info,True,True,No info,No wifi,No info,0,2,No info,True,No info,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,0
62,62,62,28560,315 Camp Horne Rd,mYxBkLITB0xhGH2LutxlRg,Pittsburgh,40.51815637,-80.09171311,Custard's First Stand,15202,16,4.0,PA,No info,No info,No info,No info,True,True,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0.0,0
63,63,63,28908,3340 E Flamingo Rd,NiQ_3tXqkoe6GaQ5w2sHaQ,Las Vegas,36.1174717,-115.1014805,Sonic Drive-In,89121,63,2.5,NV,FALSE,TRUE,FALSE,average,True,True,FALSE,No wifi,TRUE,0,1,TRUE,True,No info,FALSE,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0.0,0
64,64,64,29190,5777 E Mayo Blvd,DE37j9FjAfysF5q7jQ507Q,Phoenix,33.65861893,-111.9565811,Mayo Clinic Hospital Cafeteria,85054,39,3.5,AZ,TRUE,TRUE,FALSE,average,True,True,FALSE,Free wifi,TRUE,1,1,TRUE,True,No info,FALSE,0,0,0,1,0,1,1,0,0,0,1,2,0,0,1.0,0
65,65,65,29465,"7910 S Rainbow Blvd, Ste 110",Hp8k_RpSIWSeJguyaQpfIw,Las Vegas,36.0443917,-115.24296310000001,Gelatology,89139,578,4.5,NV,No info,No info,TRUE,No info,True,True,FALSE,Free wifi,No info,1,1,No info,True,TRUE,No info,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1.0,0
66,66,66,29764,1626 East Blvd,yWUBX9Pe6pzh1PjVj04UmQ,Charlotte,35.19897239999999,-80.84087109999999,Bad Daddy's Burger Bar,28203,505,4.0,NC,TRUE,TRUE,TRUE,average,True,True,FALSE,Free wifi,TRUE,1,2,TRUE,True,TRUE,FALSE,0,0,1,0,0,0,1,0,0,0,1,2,0,0,1.0,0
67,67,67,30077,555 S Midvale Blvd,UkfyZevcq5jmjNWMbLb1OQ,Madison,43.054623600000006,-89.4508969,Chocolate Shoppe Ice Cream,53711,26,3.5,WI,No info,No info,TRUE,No info,True,True,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0.0,0
68,68,68,30910,3817 Milwaukee St,IPUGrf2xuClfxfBIA020kw,Madison,43.096807500000004,-89.3189585,Woodman's Market,53714,98,3.5,WI,No info,No info,FALSE,No info,False,False,No info,No wifi,No info,1,1,No info,True,No info,No info,1,1,1,1,1,1,1,1,0,0,1,2,1,1,0.0,0
69,69,69,31523,"3911 E Thomas Rd, Ste 4",bSja2oCB8VunhYpHaMj9cw,Phoenix,33.47968102,-111.9972905,Water And Ice,85018,25,4.0,AZ,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,1,1,0,1,1,0,0,0,1,2,0,0,0.0,0
70,70,70,33881,5523 Walnut St,kwMJ4KfhEcrk9jiMe-S6wQ,Pittsburgh,40.45166010000001,-79.93295529999997,Mercurio's,15232,318,4.0,PA,FALSE,TRUE,TRUE,average,True,True,FALSE,Free wifi,TRUE,1,2,TRUE,True,No info,FALSE,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1.0,0
71,71,71,33943,"4360 Blue Diamond Rd, Suite 106",PJxqFL-xUmUaCe2STc5VRA,Las Vegas,36.03872970000001,-115.198596,Baskin-Robbins,89139,54,3.0,NV,No info,No info,TRUE,No info,True,True,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,1,0,1,0,1,1,0,0,1,2,0,0,0.0,0
72,72,72,34296,3790 Las Vegas Blvd S,EDHGSQVfjEWI_VCURz84eg,Las Vegas,36.1023786,-115.1745465,Häagen-Dazs,89109,11,4.5,NV,No info,No info,FALSE,No info,True,True,No info,No wifi,No info,0,1,No info,True,No info,No info,0,0,1,1,0,1,1,1,0,0,1,2,0,0,0.0,0
73,73,73,34979,"3611 Mt Holly-Huntersville Rd, Ste 201",yfKpKKBnz-oNSWfdvapO_A,Charlotte,35.32511829999999,-80.9463032,Coppa Coffee and Tea Cafe,28216,26,4.0,NC,No info,No info,FALSE,No info,True,True,FALSE,Free wifi,TRUE,1,1,No info,True,No info,No info,0,0,0,1,0,1,1,0,0,0,1,2,0,0,1.0,0
74,74,74,35283,7715 S Rainbow Blvd,F3oDNZGUJBIHHy4wQ5jRGw,Las Vegas,36.048266,-115.24358600000001,Dairy Queen,89113,93,2.0,NV,FALSE,TRUE,FALSE,average,True,True,FALSE,No wifi,FALSE,1,1,TRUE,False,No info,FALSE,0,0,1,1,1,1,1,1,0,0,1,2,0,0,0.0,1
75,75,75,35329,4210 Main St,lv4erkIq2VCIOGC46T8TsQ,Pittsburgh,40.464744,-79.95411659999998,Twisters Soft Serve Ice Cream,15224,20,3.5,PA,No info,No info,No info,No info,True,False,No info,No wifi,No info,1,1,No info,True,No info,No info,0,0,0,1,1,1,1,0,0,0,1,2,0,1,0.0,0
76,76,76,35399,3799 Las Vegas Blvd S,#NAME?,Las Vegas,36.10389158,-115.1693195,Blizz,89109,78,3.0,NV,No info,TRUE,No info,No info,True,True,FALSE,Free wifi,No info,1,2,TRUE,False,No info,FALSE,0,0,1,1,1,1,1,0,0,0,1,2,0,0,1.0,1
77,77,77,36248,7390 W Cheyenne Ave,OPiPeoJiv92rENwbq76orA,Las Vegas,36.21875267,-115.2568106,Sonic Drive-In,89129,83,3.0,NV,FALSE,TRUE,FALSE,average,True,True,FALSE,No wifi,TRUE,1,1,TRUE,True,No info,FALSE,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0.0,0
