star,city,BusinessParking,RestaurantsPriceRange2,weekday_close_after_23,weekend_close_after_23,weekend_hour_g11,tvslabel,caterslabel,delilabel,outdoorlabel,grouplabel,wheellabel,reservelabel,noiselabel,takeoutlabel,cardlabel,wifilabel,bikelabel
4.5,Charlotte,1,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
2.9,Phoenix,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
4.1,Phoenix,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
3.9,Las Vegas,1,1,0,0,0,0,1,1,1,0,0,1,3,0,0,0,0
4.3,Phoenix,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
4,Phoenix,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
4.3,Cleveland,1,2,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
2.6,Las Vegas,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
3.1,Madison,0,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,1
4,Las Vegas,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0
3.9,Las Vegas,1,1,1,1,1,1,1,1,1,0,0,1,2,0,0,1,0
4.3,Las Vegas,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
3.4,Las Vegas,1,2,1,1,1,1,1,1,1,1,0,1,2,0,0,1,1
4.2,Pittsburgh,0,1,0,0,1,1,1,1,0,0,0,1,2,0,1,0,1
3.8,Las Vegas,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,1
4,Phoenix,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
4.1,Charlotte,0,2,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0
3.2,Cleveland,1,2,0,0,0,1,0,0,1,0,0,1,3,0,0,1,0
4.5,Pittsburgh,0,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.8,Las Vegas,1,2,0,0,0,1,1,1,0,0,0,1,2,0,0,1,1
4.2,Las Vegas,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
4.7,Charlotte,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
4.8,Madison,1,1,0,0,1,0,1,1,0,0,0,1,2,0,0,1,0
3,Las Vegas,1,1,0,0,0,1,1,1,1,0,1,1,3,0,0,1,0
4.6,Madison,1,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1,1
4.5,Madison,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.9,Pittsburgh,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
3.5,Las Vegas,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,1,0
4.6,Charlotte,1,2,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
2.2,Las Vegas,0,1,0,0,1,1,1,1,1,1,0,1,2,0,0,0,0
4.1,Las Vegas,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,1,0
4.3,Phoenix,0,1,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0
3.9,Charlotte,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
4.4,Las Vegas,0,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
4.5,Cleveland,1,1,0,0,1,0,1,1,1,0,0,1,2,0,0,0,0
4.5,Cleveland,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0
3.1,Charlotte,1,1,0,0,0,1,1,1,0,0,0,1,3,0,0,0,0
3.5,Madison,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0
2.8,Las Vegas,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
4.1,Phoenix,1,1,0,0,0,1,0,1,1,0,0,1,2,0,0,1,0
1.8,Charlotte,0,1,0,0,0,0,1,1,1,0,0,1,2,1,0,0,0
4.5,Las Vegas,0,1,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0
4.1,Las Vegas,1,2,1,1,1,0,1,1,0,0,0,1,2,0,0,0,1
2.9,Las Vegas,1,1,0,0,1,1,0,0,1,0,0,1,2,0,0,0,1
3.9,Charlotte,1,1,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0
2.6,Pittsburgh,1,1,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0
4.3,Las Vegas,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
2.9,Phoenix,0,1,0,0,1,1,1,1,0,0,0,1,3,0,0,0,0
4.6,Las Vegas,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0
3.2,Las Vegas,1,1,0,0,0,0,1,1,1,0,0,1,2,0,1,0,0
3.9,Phoenix,1,1,0,0,1,0,1,1,1,0,0,1,2,1,0,0,1
4,Charlotte,0,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,1
4.3,Las Vegas,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0
4.3,Phoenix,1,1,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0
2.8,Phoenix,0,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
5,Phoenix,1,1,0,0,0,0,1,1,1,0,0,1,2,1,0,0,1
2.6,Las Vegas,1,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,0
4.7,Las Vegas,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
4.5,Las Vegas,1,1,0,0,0,1,0,1,0,0,1,1,2,0,0,1,0
4.1,Charlotte,1,1,0,0,1,0,1,1,0,0,0,1,2,0,0,0,1
4.8,Las Vegas,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
4.3,Pittsburgh,1,1,1,0,0,1,0,1,1,0,0,1,2,0,0,0,0
4.2,Phoenix,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
3.9,Las Vegas,0,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
4.3,Phoenix,0,1,0,0,0,0,1,1,1,0,0,1,2,1,0,1,1
4.8,Phoenix,1,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
4,Las Vegas,0,2,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0
4.5,Phoenix,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
3.4,Phoenix,0,1,0,0,1,0,1,1,1,0,0,1,2,0,0,0,0
4.8,Las Vegas,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
4.7,Pittsburgh,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0
4,Phoenix,0,1,0,0,1,0,1,1,1,0,0,1,2,0,0,0,1
2.9,Las Vegas,0,1,0,0,1,1,1,1,1,1,0,1,3,0,0,1,0
4.1,Charlotte,1,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0
3.8,Pittsburgh,1,2,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0
2.4,Las Vegas,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0
2,Las Vegas,0,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,0
3.7,Phoenix,1,1,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0
4,Phoenix,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
2.3,Phoenix,1,1,0,0,0,1,1,1,1,0,0,1,3,0,0,0,1
4,Las Vegas,0,1,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0
3.9,Phoenix,0,2,0,0,0,0,1,1,1,0,0,1,2,1,0,0,0
4.3,Pittsburgh,1,2,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0
4.3,Las Vegas,1,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
2.3,Las Vegas,1,1,0,0,1,1,1,1,1,0,0,1,2,0,0,0,0
4.4,Las Vegas,0,1,0,0,0,1,1,1,1,0,0,1,2,0,0,1,0
4.2,Las Vegas,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0
4.8,Pittsburgh,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
4.5,Las Vegas,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0
2.9,Las Vegas,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
3.8,Charlotte,0,1,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0
4.4,Las Vegas,0,1,0,0,1,0,1,1,1,0,0,1,2,0,0,0,0
2.4,Phoenix,0,2,0,0,1,1,0,1,1,0,0,1,2,0,0,0,1
4.2,Las Vegas,1,1,0,0,1,1,1,1,1,0,0,1,2,0,0,0,1
2.5,Phoenix,0,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
3.4,Las Vegas,1,1,0,0,1,1,1,1,1,0,0,1,2,0,0,0,0
4.5,Phoenix,0,1,0,0,1,0,1,1,1,0,0,1,2,0,0,0,0
3.3,Las Vegas,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
4.9,Phoenix,1,2,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
4.7,Las Vegas,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
4.6,Charlotte,0,2,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0
2.1,Las Vegas,1,1,0,0,1,1,1,1,1,0,0,1,2,0,0,0,1
4,Las Vegas,0,1,0,0,0,1,0,1,1,0,0,1,2,0,0,1,0
3.3,Phoenix,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,1,1
3,Phoenix,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
3.4,Las Vegas,1,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,1
4.4,Pittsburgh,1,1,0,0,1,1,0,1,1,1,0,1,3,0,0,0,0
3.8,Madison,1,1,0,0,1,0,1,1,1,0,0,1,3,0,0,1,0
4.2,Cleveland,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0
4.7,Las Vegas,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0
4.3,Phoenix,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
1.6,Phoenix,1,2,0,0,0,1,1,1,1,0,0,1,2,0,0,0,1
3.8,Las Vegas,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
3.9,Cleveland,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
4.2,Phoenix,1,2,0,0,1,1,1,1,1,0,0,1,2,0,0,0,0
4.3,Madison,1,1,0,0,1,0,1,1,1,0,0,1,2,0,0,1,0
3.9,Pittsburgh,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0
4,Madison,1,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
4.6,Madison,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.7,Phoenix,1,2,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
2.7,Las Vegas,1,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,0
1.7,Phoenix,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
3.8,Pittsburgh,1,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0
4.3,Phoenix,1,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0
4,Pittsburgh,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
4.1,Phoenix,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0
4,Las Vegas,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,1,0
4.6,Madison,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
4.8,Las Vegas,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0
4.1,Las Vegas,1,1,0,0,1,1,0,1,1,0,0,1,3,0,0,0,0
4,Las Vegas,1,2,0,0,1,1,1,1,1,0,0,1,2,0,0,1,1
4.4,Phoenix,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0
4.3,Phoenix,1,1,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0
4.3,Pittsburgh,1,1,0,0,0,1,1,1,1,0,0,1,3,0,1,0,0
4.8,Las Vegas,0,2,0,0,0,1,1,1,0,0,0,1,2,0,0,1,1
4.3,Phoenix,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1
3.7,Las Vegas,1,1,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0
4.4,Cleveland,1,2,0,0,0,1,0,1,1,1,0,1,2,0,0,1,0
3.7,Charlotte,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
4.5,Phoenix,1,2,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
3.3,Madison,1,1,0,0,1,0,1,1,0,0,0,1,2,0,0,1,0
4.3,Charlotte,1,1,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0
4.1,Phoenix,1,1,0,0,1,0,1,1,0,0,0,1,2,0,0,1,0
3.5,Madison,1,1,1,1,1,1,1,1,1,0,0,1,2,1,1,0,0
2.2,Las Vegas,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
2.6,Phoenix,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
4.8,Cleveland,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.9,Las Vegas,1,1,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0
4.7,Las Vegas,1,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1,0
2.3,Phoenix,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
3,Charlotte,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
3.8,Las Vegas,1,2,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0
4,Las Vegas,0,1,0,0,1,1,0,1,1,0,0,1,2,0,0,0,0
4,Las Vegas,0,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,1
3.4,Pittsburgh,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,1
4.5,Las Vegas,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0
3.4,Pittsburgh,1,1,1,1,1,1,1,0,1,0,0,1,2,0,0,0,0
4.1,Pittsburgh,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
3.4,Phoenix,1,2,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
4.7,Cleveland,1,1,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0
2.4,Charlotte,1,1,0,0,0,1,0,1,1,0,0,1,2,0,0,1,1
3.3,Phoenix,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
4.2,Pittsburgh,1,2,0,0,1,1,1,1,1,0,0,1,2,0,0,0,0
3.4,Las Vegas,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
4.4,Charlotte,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
3.2,Phoenix,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3,Charlotte,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
4,Cleveland,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
4,Las Vegas,1,2,0,0,0,1,1,1,0,0,0,1,3,0,0,0,0
2.9,Phoenix,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
3.6,Las Vegas,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
4.2,Pittsburgh,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0
4.1,Pittsburgh,1,2,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
3.4,Phoenix,1,2,0,0,1,0,0,1,1,0,0,1,2,0,0,1,1
4.2,Las Vegas,0,2,1,1,1,1,1,0,0,0,0,1,2,0,0,1,1
4.1,Phoenix,1,1,1,1,1,0,0,1,0,0,0,0,2,0,0,1,0
4.4,Phoenix,1,1,0,0,1,1,1,0,1,0,0,1,2,0,0,1,0
4.2,Madison,1,1,0,0,1,0,1,1,1,0,0,1,2,0,0,1,0
4.3,Las Vegas,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,1,0
3.6,Charlotte,0,2,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0
4,Phoenix,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
4.1,Las Vegas,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
3.4,Madison,1,2,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0
3.9,Las Vegas,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
2.3,Phoenix,0,1,0,0,1,1,1,1,0,0,0,1,3,0,0,0,0
3.6,Pittsburgh,1,1,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0
4.3,Las Vegas,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
2.9,Las Vegas,0,1,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0
4.5,Charlotte,1,1,0,0,0,1,0,1,1,0,0,1,2,0,0,1,0
3.8,Phoenix,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,1
4.6,Las Vegas,0,2,0,0,1,0,1,1,1,0,0,1,2,1,0,1,0
4.6,Pittsburgh,0,2,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
4.5,Las Vegas,1,1,0,0,1,0,1,1,1,0,0,1,2,0,0,1,1
4.3,Phoenix,0,1,0,0,1,0,1,1,0,0,0,1,2,0,0,1,1
4.7,Las Vegas,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
2.8,Las Vegas,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,1
3.7,Pittsburgh,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
3.3,Las Vegas,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0
2.6,Phoenix,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
3.8,Madison,1,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0
4.8,Cleveland,0,1,0,0,1,1,0,1,1,0,0,1,2,0,0,1,0
4.4,Phoenix,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,1,0
3.6,Charlotte,0,1,1,1,1,1,0,0,1,0,0,1,2,0,0,0,0
2.1,Las Vegas,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
4.3,Phoenix,0,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0
4.1,Las Vegas,0,1,0,0,1,1,0,1,1,0,0,1,2,0,0,0,0
2.4,Las Vegas,0,1,0,0,1,0,1,1,1,0,0,1,2,0,0,1,1
4.2,Pittsburgh,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.7,Las Vegas,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0
2,Las Vegas,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0
3.7,Charlotte,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0
3.5,Las Vegas,1,1,1,1,1,1,0,1,0,0,0,1,2,0,0,0,0
5,Phoenix,0,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
3.5,Phoenix,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,1
2.6,Las Vegas,0,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,0
4.4,Las Vegas,0,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0
3.9,Phoenix,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
5,Pittsburgh,0,1,0,0,0,0,0,1,1,0,1,1,2,1,0,0,1
3.8,Pittsburgh,1,1,0,0,0,1,0,1,1,0,0,1,2,0,0,1,0
3.8,Charlotte,1,2,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0
3.2,Pittsburgh,0,1,1,1,1,1,1,1,1,0,0,1,2,0,0,0,0
4.5,Charlotte,1,2,0,0,1,1,0,1,1,0,0,1,2,0,0,1,1
3.1,Phoenix,0,2,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1
2.4,Las Vegas,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
3.7,Las Vegas,1,1,1,1,1,0,0,1,0,0,0,1,2,0,0,0,1
4,Charlotte,0,2,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0
2.6,Las Vegas,1,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,0
2.2,Las Vegas,1,2,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1
3.1,Las Vegas,1,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,0
3.8,Charlotte,1,1,0,0,0,1,0,1,1,0,0,1,2,0,0,1,0
4.3,Las Vegas,1,1,0,0,1,1,1,1,1,0,0,1,2,0,0,1,0
3.4,Las Vegas,1,1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,0
4.1,Las Vegas,1,2,0,0,1,1,1,1,1,0,0,1,2,0,0,1,1
2.2,Phoenix,0,1,0,0,1,1,1,1,1,0,0,1,2,0,0,0,0
4.3,Phoenix,1,1,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0
3.6,Charlotte,1,1,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0
4.6,Cleveland,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
4.2,Pittsburgh,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.6,Cleveland,0,2,1,1,1,1,0,0,0,0,0,1,2,0,0,0,0
3.8,Las Vegas,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
4.1,Cleveland,1,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0
4.6,Cleveland,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
3.1,Phoenix,1,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
4.2,Charlotte,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
3.8,Las Vegas,0,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
3.5,Las Vegas,1,2,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0
3.1,Las Vegas,1,1,0,0,1,1,0,1,1,0,0,1,2,0,0,0,0
4.1,Pittsburgh,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
3.3,Charlotte,1,2,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1
3.5,Phoenix,1,1,0,0,1,0,1,1,0,0,0,1,2,0,0,1,0
2.5,Las Vegas,1,2,1,1,1,1,1,1,1,0,0,1,2,0,0,0,1
4.9,Phoenix,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
4.6,Las Vegas,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,1,1
4.2,Phoenix,0,2,0,0,1,1,1,1,1,0,0,1,3,0,0,1,0
3.8,Charlotte,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0
4.7,Phoenix,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
2.8,Las Vegas,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,1
4.6,Cleveland,1,2,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0
4.2,Pittsburgh,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0
3.6,Phoenix,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
3.8,Las Vegas,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,1
4.2,Charlotte,1,2,0,0,1,1,1,1,0,0,0,1,2,0,0,1,0
3.2,Charlotte,1,2,0,0,1,1,1,1,0,0,0,1,2,0,0,1,1
4,Charlotte,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0
4.3,Las Vegas,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0
